"","SUBTIME","JOBFUNC","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","3.3A","3.3B","3.3C","3.3D","3.3E","3.3F","M1","M2","M3","M4","COMPANY"
"1","7.11.16 10:28",5,"",48,"M",2,NA,4,NA,NA,4,2,NA,NA,2,NA,NA,3,NA,"Developer",48,"50 or more","Male","11-20",5,2,5,3,4,4,4,4,4,4,"Yes, actively",4,3,5,3,3,3,2,2,2,3,"Ericsson"
"2","7.11.16 11:06",3,"",60,"M",2,4,2,2,4,2,2,4,4,5,NA,NA,2,2,"Manager",60,"41-50","Male","11-20",3,5,2,2,3,2,3,4,2,2,"Never",5,2,5,2,5,3,3,2,2,3,"Ericsson"
"3","7.11.16 11:14",4,"",12,"M",3,4,3,3,3,4,1,2,2,2,NA,NA,NA,NA,"Developer",12,"31-40","Male","11-20",5,2,3,3,4,4,NA,NA,NA,4,"Occasionally",4,4,4,4,4,4,3,2,1,1,"Ericsson"
"4","7.11.16 11:36",6,"system architecture",36,"M",3,4,3,3,3,4,2,3,4,1,3,3,2,2,"Developer",36,"41-50","Male","11-20",5,3,4,4,4,5,4,NA,4,4,"Yes, actively",3,4,4,4,2,4,1,2,3,4,"Ericsson"
"5","7.11.16 12:07",4,"",9999,"M",1,1,1,1,5,1,5,5,5,2,4,5,4,3,"Developer",NA,"31-40","Male","11-20",3,5,2,2,2,2,3,3,3,2,"Occasionally",1,5,1,4,1,4,4,2,2,3,"Ericsson"
"6","7.11.16 13:23",6,"Team Coach",60,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",60,"31-40",NA,"6-10",4,5,4,2,2,3,3,4,3,3,"Yes, actively",5,2,5,4,5,3,3,1,1,3,"Ericsson"
"7","7.11.16 13:26",3,"",7,"M",5,5,4,5,1,4,5,1,2,1,2,4,3,2,"Manager",7,"31-40","Male",NA,4,4,4,3,4,3,3,3,2,3,"Occasionally",3,5,3,5,5,5,4,1,3,4,"Ericsson"
"8","7.11.16 14:14",2,"",36,"F",1,5,2,2,4,3,1,1,4,1,1,1,3,2,"UX designer",36,"41-50","Female","3-5",5,1,4,5,5,5,4,5,4,5,"Yes, actively",4,5,4,5,2,4,4,3,4,3,"Ericsson"
"9","7.11.16 14:48",6,"Customer Service Manager",12,"M",2,4,3,2,4,3,1,2,3,1,1,4,3,3,"Manager",12,"41-50","Male","6-10",5,1,5,4,4,4,5,4,4,5,"Yes, actively",4,2,4,2,4,1,1,3,3,1,"Ericsson"
"10","7.11.16 16:11",1,"",36,"M",3,5,2,4,3,4,1,3,2,2,2,4,2,3,"Developer",36,"41-50","Male","3-5",3,4,2,1,1,1,2,2,2,5,"Yes, actively",4,4,4,4,4,3,3,1,1,2,"Ericsson"
"11","8.11.16 15:06",2,"",24,"F",1,5,1,1,5,4,NA,2,4,2,1,1,1,NA,"UX designer",24,"50 or more","Female","3-5",4,5,4,4,4,4,NA,5,4,4,"Occasionally",5,5,5,5,5,4,4,2,3,4,"Ericsson"
"12","18.11.16 09:41",4,"",24,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Developer",24,"31-40",NA,"11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,"Ericsson"
"13","18.11.16 09:47",3,"",24,"M",2,4,3,2,4,2,2,2,2,2,1,4,2,2,"Manager",24,"31-40","Male","6-10",5,4,2,3,4,4,4,5,3,3,"Yes, actively",5,5,3,4,5,3,2,1,1,2,"Ericsson"
"14","18.11.16 09:58",3,"",24,"M",2,5,2,2,5,4,1,4,4,NA,NA,NA,NA,NA,"Manager",24,"41-50","Male","6-10",3,NA,2,NA,3,NA,NA,NA,2,2,"Occasionally",NA,NA,NA,NA,4,2,1,1,1,1,"Ericsson"
"15","18.11.16 10:27",6,"Product Owner",5,"M",2,5,1,2,4,3,4,2,4,1,2,4,2,2,"Manager",5,"31-40","Male","6-10",4,5,3,2,4,3,4,3,3,5,"Yes, actively",4,5,4,5,5,1,2,2,3,3,"Ericsson"
"16","18.11.16 10:45",0,"",36,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developer",36,"50 or more","Male","3-5",2,4,1,2,2,2,NA,NA,1,1,"Occasionally",4,2,4,4,3,3,1,1,2,1,"Ericsson"
"17","18.11.16 16:02",3,"",36,"M",2,4,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,"Manager",36,"50 or more","Male","6-10",4,3,2,2,3,3,4,4,2,2,"Occasionally",NA,NA,4,4,4,4,1,1,1,1,"Ericsson"
"18","25.11.16 13:40",6,"Customer Support",36,"M",2,5,4,2,5,2,2,2,2,2,3,5,2,2,"Other",36,"41-50","Male","6-10",5,3,5,5,5,5,NA,NA,NA,5,"Occasionally",5,2,5,2,5,2,2,4,4,1,"Ericsson"
"19","25.11.16 13:44",0,"",3,"M",1,5,3,2,3,5,3,3,4,3,2,3,2,2,"Developer",3,"50 or more","Male","6-10",3,5,1,2,2,2,NA,NA,1,1,NA,4,3,4,4,3,3,2,1,1,1,"Ericsson"
"20","25.11.16 13:59",6,"Project delivery",108,"M",2,5,2,2,5,4,2,2,4,2,2,4,2,2,"Other",108,"41-50","Male","11-20",5,2,5,4,2,4,2,5,4,5,"Yes, actively",5,2,5,4,5,2,1,1,3,1,"Ericsson"
"21","25.11.16 14:11",4,"",24,"M",2,5,1,1,5,3,1,3,1,4,3,5,2,2,"Developer",24,"21-30","Male","11-20",5,1,5,3,4,3,2,2,2,5,"Never",5,2,4,3,4,3,1,1,1,1,"Ericsson"
"22","25.11.16 14:34",0,"",36,"M",5,5,4,3,2,4,5,1,4,2,1,5,2,1,"Developer",36,"31-40","Male","3-5",2,5,2,4,3,3,3,5,2,3,"Rarely",3,5,4,5,5,5,1,1,1,3,"Ericsson"
"23","25.11.16 14:45",0,"",36,"M",1,5,1,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,"Developer",36,"41-50","Male","6-10",5,5,2,3,4,4,4,4,3,3,NA,5,1,4,2,2,4,3,1,1,4,"Ericsson"
"24","25.11.16 15:25",0,"",60,"M",1,5,1,1,5,NA,2,2,4,1,2,2,4,NA,"Developer",60,"50 or more","Male","6-10",4,5,3,4,NA,NA,4,4,4,4,"Yes, actively",5,5,4,4,4,2,3,1,3,3,"Ericsson"
"25","25.11.16 15:29",4,"",12,"F",2,4,2,2,4,4,3,3,3,4,3,3,NA,3,"Developer",12,"31-40","Female","11-20",4,4,2,3,3,3,NA,NA,NA,3,NA,5,2,4,4,3,4,1,1,1,5,"Ericsson"
"26","25.11.16 15:42",1,"",24,"M",2,4,2,2,4,4,2,4,4,2,4,4,5,2,"Developer",24,"31-40","Male","6-10",5,5,4,4,4,4,4,4,2,2,"Rarely",4,2,4,2,4,2,2,2,3,2,"Ericsson"
"27","25.11.16 15:47",0,"",24,"M",1,5,1,1,5,3,1,2,4,2,2,3,2,3,"Developer",24,"31-40","Male","6-10",2,3,1,2,2,2,NA,3,2,2,"Yes, actively",1,3,1,4,3,3,3,1,1,1,"Ericsson"
"28","25.11.16 15:50",0,"",11,"M",2,5,3,2,4,1,1,2,4,2,2,3,3,3,"Developer",11,"41-50","Male","6-10",4,4,2,5,4,NA,4,4,2,3,"Yes, actively",4,2,5,4,4,4,1,1,1,1,"Ericsson"
"29","25.11.16 17:29",3,"",36,"F",2,5,2,2,5,2,1,2,2,4,2,4,2,2,"Manager",36,"31-40","Female","6-10",3,2,5,4,4,4,5,2,2,5,"Rarely",4,2,4,3,4,3,1,1,5,1,"Ericsson"
"30","25.11.16 18:12",0,"",72,NA,1,5,1,5,4,4,1,2,4,2,2,2,2,2,"Developer",72,"41-50",NA,"6-10",4,2,4,2,3,3,NA,5,4,4,"Rarely",4,2,4,2,5,1,1,3,2,4,"Ericsson"
"31","28.11.16 09:19",3,"",36,"M",4,4,4,4,4,4,4,4,4,4,4,4,3,4,"Manager",36,"50 or more","Male",">20",4,4,5,4,4,4,3,3,3,3,"Occasionally",3,3,4,4,4,4,4,3,3,3,"Ericsson"
"32","28.11.16 11:14",0,"",12,"M",2,4,2,4,3,4,3,3,3,2,3,2,NA,4,"Developer",12,"41-50","Male","3-5",2,5,1,3,4,NA,4,NA,NA,1,NA,NA,NA,3,3,3,2,1,1,1,1,"Ericsson"
"33","28.11.16 11:23",0,"",12,"M",2,5,3,NA,5,4,1,3,4,5,4,5,NA,NA,"Developer",12,"41-50","Male","< 3",2,5,1,4,5,5,NA,NA,NA,NA,"Yes, actively",5,2,5,5,4,2,1,1,1,2,"Ericsson"
"34","29.11.16 12:50",1,"",36,"F",4,5,4,4,5,4,4,3,2,2,2,5,2,3,"Developer",36,"31-40","Female","3-5",5,4,4,4,5,4,5,5,5,5,"Yes, actively",4,5,5,4,4,5,3,4,3,5,"Ericsson"
"35","30.11.16 11:24",3,"",24,"M",2,4,2,3,3,3,2,4,2,3,2,3,2,2,"Manager",24,"41-50","Male",">20",4,3,4,3,5,3,3,3,2,3,"Yes, actively",5,2,3,4,4,3,1,1,3,2,"Ericsson"
"36","10.3.17 12:56",0,NA,2,"M",1,5,1,1,5,1,1,3,4,NA,4,5,3,2,"Developer",2,"31-40","Male",">20",5,2,4,4,4,4,3,5,4,5,NA,2,5,3,3,3,3,NA,4,3,5,"F-secure"
"37","10.3.17 13:07",1,NA,36,"M",3,5,2,3,3,4,2,3,3,4,3,4,5,2,"Manager",36,"31-40","Male","11-20",4,2,2,3,4,3,3,4,3,4,"Occasionally",4,2,5,5,3,4,1,2,3,5,"F-secure"
"38","10.3.17 13:45",1,NA,12,"M",2,3,4,3,2,5,2,2,4,4,1,2,2,2,"Manager",12,"31-40","Male",">20",5,1,4,2,3,3,4,4,5,3,"Occasionally",4,2,3,3,4,4,2,4,3,3,"F-secure"
"39","10.3.17 14:09",9,NA,12,NA,1,1,1,1,5,1,1,4,4,4,4,4,4,4,"Other",12,"41-50",NA,">20",4,3,2,4,2,4,1,4,2,2,"Occasionally",4,4,4,4,2,4,1,2,2,1,"F-secure"
"40","12.3.17 17:55",2,NA,3,"M",2,5,4,3,1,5,5,3,4,2,4,4,2,1,"Manager",3,"41-50","Male",">20",4,3,2,4,5,NA,3,5,NA,4,"Yes, actively",2,4,4,4,3,4,2,2,3,3,"F-secure"
"41","13.3.17 14:46",1,NA,24,"F",2,4,2,2,4,2,2,3,4,4,NA,4,4,4,"Manager",24,"31-40","Female","11-20",4,NA,2,4,4,4,2,3,NA,3,"Rarely",3,4,3,4,4,4,1,3,1,3,"F-secure"
"42","22.3.17 13:37",1,NA,84,"M",1,5,1,1,5,1,1,3,4,3,2,4,2,2,"Manager",84,"50 or more","Male",">20",4,2,3,3,4,4,3,4,4,4,"Occasionally",4,4,4,4,4,5,3,3,3,4,"F-secure"
"43","22.3.17 15:00",1,NA,36,"M",2,5,2,2,4,4,2,2,2,2,4,4,2,2,"Manager",36,"41-50","Male",">20",5,2,4,4,4,4,4,4,4,4,"Occasionally",2,4,4,4,4,4,2,3,3,4,"F-secure"
"44","3.3.17 11:38",2,"",4,"M",1,5,2,2,5,4,3,4,4,NA,NA,4,3,4,"Manager",4,"31-40","Male","11-20",5,1,2,3,4,4,NA,4,NA,4,"Occasionally",2,4,2,4,2,4,2,2,1,2,"Vaadin"
"45","3.3.17 12:18",7,"",10,"M",1,5,1,1,4,2,3,3,5,2,2,3,2,2,"Other",10,"31-40","Male","< 3",5,3,5,5,4,4,3,4,2,5,"Yes, actively",2,4,3,4,3,3,2,1,3,1,"Vaadin"
"46","3.3.17 12:31",8,"",3,"M",1,5,1,2,4,4,NA,4,4,NA,2,4,3,NA,"Other",3,"31-40","Male","6-10",4,1,5,3,4,4,3,4,4,3,"Occasionally",2,4,3,4,3,3,3,2,4,4,"Vaadin"
"47","3.3.17 12:37",4,"",60,"M",4,5,3,4,2,5,4,2,5,4,NA,4,1,2,"UX designer",60,"31-40","Male","6-10",3,5,3,3,4,4,NA,2,NA,2,"Occasionally",4,4,5,5,4,5,3,3,2,2,"Vaadin"
"48","3.3.17 13:34",6,"",6,"M",3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Other",6,"21-30","Male","6-10",4,4,4,4,4,4,3,3,3,3,"Occasionally",3,3,3,3,3,3,3,3,3,3,"Vaadin"
"49","3.3.17 13:48",1,"",24,"M",1,4,1,1,4,1,1,4,4,NA,4,4,4,1,"Developer",24,NA,"Male","6-10",5,1,5,4,5,5,NA,NA,NA,4,"Occasionally",5,5,5,5,5,5,1,1,1,1,"Vaadin"
"50","4.3.17 13:12",3,"",9999,"M",4,3,4,NA,2,4,4,3,4,1,2,2,2,1,"Manager",NA,"20 or less","Male",">20",4,1,5,4,5,5,5,4,3,5,"Occasionally",2,4,4,4,4,4,2,4,4,3,"Vaadin"
"51","7.3.17 14:24",7,"",12,"M",3,3,5,4,3,2,2,3,4,4,4,2,3,2,"Other",12,"21-30","Male","< 3",4,1,3,5,4,4,4,5,5,4,"Occasionally",4,2,4,3,4,4,1,1,1,2,"Vaadin"
"52","15.3.17 15:13",10,"sales",7,"M",3,5,4,3,3,4,4,3,4,3,3,4,3,3,"Other",7,"31-40","Male","11-20",4,1,5,3,4,4,2,2,3,3,"Yes, actively",4,2,4,4,4,4,1,3,3,1,"Vaadin"
"53","15.3.17 15:21",1,"",24,"M",1,5,1,4,2,1,3,1,1,2,2,2,3,2,"Developer",24,"31-40","Male","11-20",4,1,4,3,4,3,4,4,4,4,"Yes, actively",5,1,5,5,1,4,1,1,3,1,"Vaadin"
"54","15.3.17 15:26",10,"Account Manager",7,"M",2,5,3,2,4,2,3,4,2,NA,NA,2,2,4,"Manager",7,NA,"Male","6-10",2,1,4,3,4,4,3,NA,4,4,"Occasionally",2,4,4,4,3,4,NA,NA,2,3,"Vaadin"
"55","15.3.17 15:41",7,"",2,"M",2,5,3,3,3,NA,1,5,3,1,4,4,4,4,"Other",2,"41-50","Male","< 3",4,1,5,5,5,5,2,4,2,5,"Occasionally",4,3,4,4,4,4,4,2,NA,4,"Vaadin"
"56","15.3.17 15:50",0,"",24,"M",2,5,2,3,3,3,2,4,4,4,3,4,2,3,"Developer",24,"41-50","Male","11-20",2,2,1,2,3,1,1,3,2,2,"Rarely",2,4,4,3,4,4,1,2,1,1,"Vaadin"
"57","15.3.17 17:01",0,"",24,"M",2,5,3,4,2,4,4,3,3,2,2,2,2,4,"Developer",24,"31-40","Male","3-5",4,2,4,3,4,4,4,4,4,4,"Yes, actively",4,2,4,2,4,4,1,5,5,3,"Vaadin"
"58","15.3.17 20:28",10,"Sales",24,"M",3,5,1,2,4,4,NA,NA,4,1,2,4,3,4,"Other",24,"31-40","Male",">20",4,1,5,4,2,3,4,5,5,3,"Yes, actively",5,3,5,5,5,5,3,5,3,2,"Vaadin"
"59","15.3.17 20:36",4,"",6,"M",5,4,3,3,2,5,3,2,4,1,2,2,2,3,"UX designer",6,"41-50","Male","3-5",4,5,1,2,3,3,2,2,2,2,NA,4,3,5,5,2,5,1,1,1,2,"Vaadin"
"60","16.3.17 04:08",1,"",5,"M",2,5,2,4,2,5,3,2,4,3,3,4,2,1,"Developer",5,"31-40","Male","3-5",4,3,2,3,4,NA,2,4,2,3,NA,2,5,4,4,3,5,1,1,1,1,"Vaadin"
"61","16.3.17 08:58",4,"",120,"M",2,5,3,2,3,3,2,2,3,3,2,4,3,2,"UX designer",120,"31-40","Male","6-10",2,5,3,4,4,4,2,2,2,2,"Occasionally",4,3,3,4,3,4,3,3,3,1,"Vaadin"
"62","16.3.17 09:04",4,"",120,"M",2,5,3,3,3,4,2,2,4,4,2,4,3,2,"UX designer",120,"31-40","Male","6-10",4,2,4,4,4,4,3,3,4,4,"Occasionally",3,4,3,4,4,4,3,3,3,2,"Vaadin"
"63","16.3.17 15:23",2,"",11,"M",1,5,1,1,5,4,4,2,4,3,2,4,4,3,"Manager",11,"41-50","Male","11-20",4,2,4,2,4,2,2,NA,NA,3,"Rarely",5,2,3,4,2,4,3,3,2,3,"Vaadin"
