"","SUBTIME","JOBFUNCOTHER","GENDER","ROLE","age_range","gender","team_size","condexp","COMPANY","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","WORKTIM"
"66","27.3.17 15:03","","M","Developer","21-30","Male","6-10","Occasionally","Reaktor","disagree","agree","disagree","disagree","agree","agree","agree","agree","agree","disagree","disagree","agree","disagree","agree","agree","agree","indecisive","agree","indecisive","agree","agree","agree","agree","agree","indecisive","agree","agree","indecisive","agree","agree","5 year"
"67","27.3.17 15:05","","M","Other","31-40","Male","11-20","Yes, actively","Reaktor","agree","agree","agree","agree","disagree","agree","agree","indecisive","disagree","disagree","indecisive","disagree","disagree","disagree","agree","agree","indecisive","disagree","agree","agree","agree","agree","agree","agree","indecisive","indecisive","agree","agree","agree","agree","1 year"
"68","27.3.17 15:05","data science","M","Developer","41-50","Male","6-10","Yes, actively","Reaktor","agree","indecisive","indecisive","indecisive","disagree","agree","indecisive","indecisive","disagree","disagree","disagree","disagree","indecisive","disagree","indecisive","agree","disagree","indecisive","agree","agree","indecisive","agree","indecisive","agree","disagree","agree","agree","agree","agree","agree","5 year"
"69","27.3.17 15:07","","M","UX designer","31-40","Male","3-5","Yes, actively","Reaktor","disagree","agree","agree","agree","disagree","agree","disagree","disagree","indecisive","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","agree","indecisive","agree","agree","5 year"
"70","27.3.17 15:07","","M","Developer","31-40","Male","3-5",NA,"Reaktor","agree","agree","agree","disagree","disagree",NA,"disagree","agree","indecisive","disagree",NA,NA,NA,"agree","disagree","disagree","disagree","agree","agree","agree",NA,"agree","indecisive","indecisive","indecisive","disagree","agree","agree","agree","indecisive","1 year"
"71","27.3.17 15:10","","M","Developer","21-30","Male","6-10","Yes, actively","Reaktor","indecisive","agree","disagree","agree","disagree","agree","agree","agree","indecisive","disagree","disagree","disagree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","disagree","agree","agree","agree","disagree","agree","agree","1 year"
"72","27.3.17 15:12","","M","Developer","21-30","Male","< 3","Rarely","Reaktor","disagree","agree","disagree","indecisive","agree","indecisive","indecisive","indecisive","agree","indecisive","disagree","agree","disagree","agree","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","agree","agree","agree","5 year"
"73","27.3.17 15:14","","M","Developer","41-50","Male","11-20","Yes, actively","Reaktor","indecisive","agree","disagree","indecisive","indecisive","indecisive","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","agree","agree","disagree","agree","10 year"
"74","27.3.17 15:24","","M","Developer","21-30","Male","6-10","Rarely","Reaktor","indecisive","agree","indecisive","indecisive","indecisive","indecisive","indecisive","agree","agree","agree","disagree","indecisive","agree","disagree","agree","agree","disagree","disagree","disagree","indecisive","disagree","indecisive","agree","agree","disagree","agree","agree","agree","agree","agree","5 year"
"75","27.3.17 15:29","","M","Developer","41-50","Male","6-10","Never","Reaktor","disagree","agree","disagree","disagree","indecisive","agree","disagree","indecisive","agree","agree","indecisive","disagree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","disagree","disagree","disagree","indecisive","agree","disagree","agree","agree","agree","10 year"
"76","27.3.17 15:34","","F","Manager","31-40","Female",">20","Yes, actively","Reaktor","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","indecisive","disagree","disagree","indecisive","disagree","indecisive","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","agree","agree","agree","agree","agree","10 year"
"77","27.3.17 15:34","","M","Developer","31-40","Male","6-10","Occasionally","Reaktor","disagree","agree","disagree","disagree","agree","disagree","disagree",NA,"agree","disagree",NA,"agree","disagree","indecisive","agree","disagree","agree","agree","agree","agree","indecisive","indecisive","indecisive","indecisive","disagree","agree","agree","agree","agree","agree","5 year"
"78","27.3.17 15:41","","M","Developer","31-40","Male","11-20","Occasionally","Reaktor","disagree","agree","disagree","agree","agree","agree","agree","agree","agree","disagree","disagree",NA,"disagree","disagree","agree","indecisive","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","indecisive","agree","agree","agree","10 year"
"79","27.3.17 15:42","","M","Developer","21-30","Male","3-5",NA,"Reaktor","disagree","agree","disagree","disagree","indecisive","agree",NA,"agree","agree",NA,NA,NA,"disagree","disagree","agree","agree","disagree","disagree","agree","indecisive",NA,NA,NA,"indecisive","agree","disagree","agree","agree",NA,"agree","10 year"
"80","27.3.17 15:48","","M","Other","41-50","Male","11-20","Yes, actively","Reaktor","disagree","agree","indecisive","indecisive","disagree","indecisive",NA,"indecisive",NA,"disagree",NA,NA,NA,"disagree","agree","agree","disagree","indecisive",NA,NA,"agree","agree","agree","agree","indecisive","indecisive","agree","agree","agree","agree","5 year"
"81","27.3.17 15:54","","M","Developer","21-30","Male",">20","Yes, actively","Reaktor","agree","agree","agree","indecisive","disagree","agree",NA,"agree","agree","disagree","disagree","disagree",NA,"disagree","agree","disagree","agree","agree","agree","agree",NA,"agree","agree","agree","indecisive","agree","agree","agree","agree","agree","5 year"
"82","27.3.17 16:04","","M","UX designer","31-40","Male","3-5","Occasionally","Reaktor","indecisive","agree","indecisive","indecisive","indecisive","indecisive","indecisive","disagree","agree",NA,NA,NA,NA,NA,"agree","indecisive","agree","agree","agree","agree","disagree","agree","disagree","agree","indecisive","agree","agree","agree","disagree","agree","5 year"
"83","27.3.17 16:15","","F","UX designer","41-50","Female",">20","Yes, actively","Reaktor","disagree","agree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","disagree","indecisive","indecisive","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","agree","indecisive","indecisive","5 year"
"84","27.3.17 17:01","","M","UX designer","31-40","Male","3-5","Yes, actively","Reaktor","agree","agree","agree","agree","disagree","agree","agree","agree","agree","agree",NA,"indecisive","agree","disagree","agree","disagree","indecisive","agree","agree","agree","indecisive","agree","agree","agree","agree","disagree","agree","agree","agree","indecisive","5 year"
"85","27.3.17 20:07","",NA,"Developer","31-40",NA,"3-5","Yes, actively","Reaktor",NA,NA,NA,NA,NA,NA,NA,"disagree","agree","disagree",NA,"indecisive",NA,"disagree","agree","agree","disagree","agree","agree","agree",NA,NA,"disagree","disagree","disagree","agree","disagree","agree","agree","agree","5 year"
"86","27.3.17 20:31","","M","Developer","21-30","Male","3-5","Yes, actively","Reaktor","disagree","indecisive","agree","indecisive","disagree","agree","agree","disagree","agree","indecisive","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","disagree","agree","agree","agree","agree","5 year"
"87","27.3.17 23:22","","M","UX designer","41-50","Male","6-10","Occasionally","Reaktor","indecisive","indecisive","indecisive","agree","disagree","indecisive","agree","agree","agree","agree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","indecisive","agree","indecisive","agree","agree","agree","indecisive","agree","5 year"
"88","28.3.17 08:26","","M","Developer","31-40","Male","6-10","Yes, actively","Reaktor","indecisive","agree","agree","agree","disagree","agree",NA,"disagree","agree",NA,NA,"disagree",NA,NA,"agree","agree","disagree","indecisive","agree","disagree","agree","agree","agree","agree","agree","disagree","agree","agree","indecisive","agree","10 year"
"89","28.3.17 09:53","","M","Developer","41-50","Male","6-10","Yes, actively","Reaktor","indecisive","agree","indecisive","indecisive","disagree","agree","disagree","disagree","disagree","agree","disagree","disagree","disagree","agree","agree","disagree","indecisive","agree","agree","agree","indecisive","agree","indecisive","agree","agree","disagree","agree","agree","agree","agree","10 year"
"90","28.3.17 10:23","","F","UX designer","31-40","Female","3-5","Yes, actively","Reaktor","indecisive","agree","disagree","indecisive","indecisive","disagree","agree","agree","indecisive","indecisive","disagree","indecisive","indecisive","indecisive","agree","disagree","agree","agree","agree","agree","indecisive","agree","indecisive","agree","agree","indecisive","indecisive","agree","disagree","agree","5 year"
"91","28.3.17 12:03","","F","UX designer","41-50","Female","3-5","Yes, actively","Reaktor","disagree","agree","disagree","disagree","agree","agree","disagree","agree","agree","indecisive","disagree","disagree","disagree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","agree","agree","disagree","agree","5 year"
"92","28.3.17 12:09","","M","Developer","31-40","Male","< 3","Yes, actively","Reaktor","agree","agree",NA,"disagree","disagree","agree",NA,"disagree","indecisive","disagree","disagree","disagree","disagree","disagree","agree",NA,"disagree","agree","agree","indecisive","indecisive","agree","indecisive","indecisive","agree","agree","agree","agree","agree","agree","10 year"
"93","28.3.17 15:01","","M","Manager","41-50","Male","6-10","Yes, actively","Reaktor","agree","agree","disagree","disagree","disagree","agree","agree","disagree","indecisive","disagree","disagree","agree","disagree","indecisive","agree","disagree","agree","agree","agree","agree","disagree","agree","agree","agree","indecisive","agree","disagree","agree","disagree","disagree","5 year"
"94","28.3.17 16:44","","M","UX designer","41-50","Male","11-20","Yes, actively","Reaktor","indecisive","agree","indecisive","disagree","indecisive","indecisive","disagree","indecisive","disagree","indecisive","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","disagree","agree","disagree","agree","indecisive","indecisive","agree","indecisive","agree","agree","10 year"
"95","29.3.17 08:45","","M","Developer","31-40","Male",">20","Yes, actively","Reaktor","agree","agree","agree","indecisive","disagree","agree",NA,"agree","agree","indecisive",NA,NA,NA,"agree","agree","disagree","agree","disagree","agree","disagree",NA,"agree","agree","agree","indecisive","indecisive","agree","agree","agree","disagree","5 year"
"96","29.3.17 09:23","","M","Developer","31-40","Male","6-10","Occasionally","Reaktor","disagree","agree","disagree","agree","agree","disagree","disagree","disagree","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree",NA,"agree","agree","agree","agree","disagree","agree","disagree","agree","agree","10 year"
"97","29.3.17 15:15","","M","UX designer","31-40","Male","6-10","Occasionally","Reaktor","agree","agree","agree","agree","disagree","disagree","indecisive","disagree","disagree","agree","disagree","disagree","disagree","disagree","agree","agree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","disagree","agree","agree","agree","disagree","agree","10 year"
"98","30.3.17 11:02","","M","UX designer","21-30","Male","6-10",NA,"Reaktor","indecisive","agree","agree","agree","disagree","indecisive","indecisive","indecisive","agree","agree","indecisive","agree","indecisive","indecisive","agree","agree","indecisive","indecisive","agree","agree","agree","agree","disagree","indecisive","disagree","agree","disagree","agree","agree","agree","5 year"
"99","30.3.17 22:11","","M","Developer","31-40","Male","6-10","Never","Reaktor","indecisive","agree","disagree",NA,"agree","agree","disagree","indecisive","agree","agree","disagree","disagree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","agree","disagree","disagree","disagree","agree","agree","indecisive","agree","agree","agree","1 year"
"100","2.4.17 21:01","","M","Developer","31-40","Male","6-10","Yes, actively","Reaktor","indecisive","agree","disagree","indecisive","indecisive","agree","indecisive","disagree","agree","disagree","indecisive","agree","indecisive","indecisive","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","agree","indecisive","indecisive","agree","agree","agree","agree","10 year"
"101","10.4.17 10:43","","M","Developer","31-40","Male","3-5","Rarely","Reaktor","disagree","agree","disagree","disagree","agree","disagree","disagree","indecisive","agree","agree","disagree","disagree","disagree","disagree","agree","agree","disagree","indecisive","disagree","indecisive","disagree","indecisive","disagree","disagree","agree","indecisive","agree","agree","agree","agree","1 year"
"102","11.4.17 11:38","","M","Developer","21-30","Male","6-10",NA,"Reaktor","disagree","agree","disagree","indecisive","disagree","indecisive","disagree","disagree","indecisive",NA,NA,NA,"disagree",NA,"agree","disagree","disagree","agree","agree","disagree",NA,NA,"agree","agree","agree","disagree","agree","agree","indecisive","agree","1 year"
"103","11.4.17 12:08","",NA,"Developer","31-40",NA,"6-10","Never","Reaktor","disagree","agree","disagree","indecisive","disagree","agree","disagree","agree","agree","agree",NA,NA,"agree","disagree","agree","disagree","disagree","disagree","agree","agree",NA,"agree","agree","agree","disagree","agree","agree","agree","agree","indecisive","5 year"
"104","11.4.17 12:22","","M","Developer","31-40","Male","3-5","Occasionally","Reaktor","agree","indecisive","agree","indecisive","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","indecisive","disagree","indecisive","agree","disagree","disagree","disagree","agree",NA,"agree","disagree","disagree","agree","disagree","agree","agree","agree","agree","10 year"
"105","11.4.17 12:44","","M","Developer","31-40","Male","11-20","Yes, actively","Reaktor","indecisive","agree","indecisive","indecisive","indecisive","disagree","disagree","indecisive","agree","indecisive","indecisive","agree","indecisive","indecisive","agree","indecisive","agree","agree","agree","agree","indecisive","indecisive","agree","agree","indecisive","agree","agree","agree","disagree","disagree","10 year"
"106","11.4.17 12:57","","M","UX designer","21-30","Male","3-5","Yes, actively","Reaktor","indecisive","agree","indecisive","indecisive","disagree","indecisive",NA,"indecisive","agree","disagree","disagree","indecisive","disagree","indecisive","agree","agree","indecisive","agree","agree","agree",NA,"agree","agree","agree","agree","indecisive","agree","agree","agree","agree","5 year"
"107","11.4.17 13:35","","M","Developer","31-40","Male","3-5","Occasionally","Reaktor","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","disagree","indecisive","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","indecisive","agree","indecisive","agree","10 year"
"108","11.4.17 15:16","","M","Developer","41-50","Male","11-20",NA,"Reaktor","agree","agree","disagree","disagree","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","disagree","disagree","agree","agree","indecisive","disagree","agree","agree","indecisive","indecisive","indecisive","indecisive","agree","disagree","agree","agree","disagree","agree","10 year"
"109","11.4.17 18:09","UI Visual design","M","UX designer","31-40","Male","3-5","Occasionally","Reaktor","disagree","agree","indecisive","indecisive","indecisive","indecisive","agree","indecisive","agree","indecisive","disagree","agree","indecisive","agree","agree","agree","indecisive","agree","agree","indecisive","disagree","indecisive","disagree","indecisive","indecisive","agree","agree","agree","disagree","indecisive","1 year"
"110","12.4.17 09:23","","M","Developer","41-50","Male","11-20","Yes, actively","Reaktor","disagree","agree","indecisive","disagree","agree","agree","disagree","agree","indecisive","disagree","agree","agree","agree","indecisive","agree","disagree","agree","disagree","agree","indecisive","agree","agree","agree","agree","agree","disagree","agree","agree","agree","indecisive","5 year"
"111","12.4.17 13:31","","M","Developer","31-40","Male","11-20","Yes, actively","Reaktor","disagree","agree","indecisive","agree","disagree","agree","agree","agree","indecisive","disagree","indecisive","disagree","disagree","disagree","agree","disagree","indecisive","agree","agree","agree","agree","agree","agree","agree","indecisive","disagree","agree","agree","agree","agree","5 year"
"112","12.4.17 14:09","UX, Graphic Design, product design","M","UX designer","31-40","Male","11-20","Yes, actively","Reaktor","agree","agree","agree","disagree","disagree","agree","indecisive","disagree","disagree","disagree","disagree","disagree","indecisive","disagree","indecisive","disagree","indecisive","disagree","agree","agree","agree","agree","agree","agree","disagree","agree","indecisive","agree","agree","agree","5 year"
"113","15.4.17 13:05","","M","Developer","31-40","Male","3-5","Yes, actively","Reaktor","disagree","agree","disagree","indecisive","indecisive","agree","disagree","disagree","disagree","disagree","disagree","indecisive","disagree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","disagree","agree","agree","indecisive","5 year"
"114","19.4.17 12:52","","M","Developer","31-40","Male","3-5","Yes, actively","Reaktor","agree","agree","disagree","indecisive","disagree","indecisive","disagree","agree","agree","disagree","indecisive","indecisive","indecisive","indecisive","agree","agree","disagree","disagree","agree","agree","indecisive","indecisive","disagree","disagree","agree","disagree","agree","agree","agree","agree","10 year"
"115","19.4.17 12:53","","M","Developer","31-40","Male","6-10","Never","Reaktor","indecisive","agree","disagree","indecisive","indecisive","disagree","disagree","agree","disagree",NA,NA,NA,NA,"disagree","indecisive","indecisive","disagree",NA,"agree","indecisive","indecisive","indecisive","indecisive","indecisive","agree","disagree","agree","indecisive","indecisive","agree","1 year"
"116","19.4.17 12:54","","M","Developer","31-40","Male","3-5","Occasionally","Reaktor","disagree","agree","disagree","disagree","indecisive","agree","disagree","agree","agree","disagree","indecisive","indecisive","indecisive","disagree","agree","indecisive","disagree","agree","agree","indecisive","indecisive","agree","disagree","disagree","disagree","agree","indecisive","agree","agree","agree","1 year"
"117","19.4.17 12:54","","M","Developer","41-50","Male","< 3","Occasionally","Reaktor","disagree","agree","disagree","agree","disagree","indecisive","disagree","disagree","indecisive","disagree","disagree","disagree","indecisive","indecisive","agree","indecisive","disagree","agree","agree","indecisive","agree","agree","agree","agree","indecisive","agree","agree","agree","agree","agree","10 year"
"118","19.4.17 12:55","","M","Developer","41-50","Male","6-10","Occasionally","Reaktor","agree","agree","disagree","agree","disagree","agree","indecisive","indecisive","agree","disagree","agree","indecisive","indecisive","indecisive","agree","agree","agree","agree","agree","agree","disagree","agree","indecisive","agree","disagree","agree","agree","agree","agree","indecisive","10 year"
"119","19.4.17 12:55","","F","UX designer","21-30","Female","3-5",NA,"Reaktor","indecisive","agree","disagree",NA,"disagree","agree","agree",NA,NA,NA,"disagree","indecisive","disagree",NA,"agree","indecisive","disagree","indecisive","agree","agree",NA,"agree","indecisive","disagree","indecisive","disagree","agree","agree","indecisive","indecisive","5 year"
"120","19.4.17 12:58","","M","Developer","31-40","Male","3-5","Occasionally","Reaktor","agree","agree","disagree","indecisive","indecisive","indecisive","disagree","agree","agree","indecisive",NA,"indecisive","indecisive","disagree","agree","agree","agree","agree","agree","agree","indecisive","indecisive","indecisive","indecisive","indecisive","disagree","agree","agree","disagree","agree","5 year"
"121","19.4.17 13:03","","M","UX designer","31-40","Male","6-10","Yes, actively","Reaktor","agree","agree",NA,"agree","disagree","agree","agree","agree","indecisive","agree","disagree","disagree","indecisive","disagree","agree","agree","disagree","disagree","indecisive","disagree",NA,NA,NA,"disagree","disagree","disagree","agree","indecisive","disagree","indecisive","5 year"
"122","19.4.17 13:46","",NA,"Developer","31-40",NA,"3-5","Occasionally","Reaktor","agree","agree","disagree","agree","disagree","disagree","disagree","disagree","agree","agree","disagree","agree","indecisive","disagree","agree","agree","disagree","disagree","agree","indecisive","disagree","agree","disagree","disagree","agree","disagree","agree","agree","agree","agree","5 year"
"123","19.4.17 13:51","","M","Developer","41-50","Male","6-10","Occasionally","Reaktor","agree","agree","agree","indecisive","disagree","agree","indecisive","agree","agree","indecisive","disagree","disagree","disagree","agree","agree",NA,"disagree","indecisive","agree","indecisive","indecisive","agree","disagree","disagree","agree","agree","agree","agree","agree","agree","10 year"
"124","19.4.17 13:52","","M","Developer","21-30","Male","6-10","Yes, actively","Reaktor","disagree","agree","indecisive","indecisive","agree","agree","disagree",NA,"indecisive","disagree","disagree","agree","disagree","disagree","agree",NA,"agree","disagree","agree","indecisive","agree","agree","agree","agree","agree","disagree","agree","indecisive","agree","agree","1 year"
"125","19.4.17 14:20","","M","Developer","21-30","Male","6-10","Yes, actively","Reaktor","agree","agree","indecisive","agree","disagree","agree",NA,"disagree","indecisive","disagree","disagree","disagree","disagree","agree","agree","agree","disagree","disagree","indecisive","disagree","indecisive","indecisive","agree","agree","agree","indecisive","agree","agree","disagree","disagree","1 year"
"126","19.4.17 14:33","Office administration","F","Other","31-40","Female",">20",NA,"Reaktor","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","disagree","agree","disagree","disagree","disagree","disagree","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","agree","agree","indecisive","indecisive","1 year"
"127","19.4.17 15:05","","M","UX designer","31-40","Male","6-10","Yes, actively","Reaktor","disagree","agree","disagree","indecisive","disagree","indecisive","agree","agree","indecisive","indecisive","disagree","agree","indecisive","indecisive","agree","disagree","agree","agree","agree","agree",NA,"agree","agree","agree","agree","agree","agree","agree","agree","agree","1 year"
"128","19.4.17 15:11","","M","Developer","41-50","Male","6-10","Yes, actively","Reaktor","disagree","agree","disagree","disagree","agree","indecisive","indecisive","indecisive","indecisive","disagree","indecisive","indecisive","disagree","disagree","agree","indecisive","indecisive","agree","agree","agree","indecisive","agree","indecisive","indecisive","indecisive","agree","agree","agree","indecisive","agree","10 year"
"129","19.4.17 16:51","","M","Developer","21-30","Male","6-10","Yes, actively","Reaktor","indecisive","agree","disagree","indecisive","disagree","agree","agree","agree","indecisive","agree",NA,"agree","disagree","agree","agree",NA,"disagree","disagree","agree","disagree","indecisive","indecisive","disagree","disagree","agree","disagree","agree","agree","agree","agree","5 year"
"130","19.4.17 22:42","","M","Manager","31-40","Male",">20","Yes, actively","Reaktor","disagree","agree","disagree","indecisive","indecisive","agree","indecisive","disagree","disagree","disagree","disagree","disagree","disagree","indecisive","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","agree","agree","indecisive","agree","5 year"
